""	""	"EAP"	"HPL"	"MWS"	"EAP"	"HPL"	"MWS"
"sample62"	"as"	"0"	"0"	"0"	"0"	"0"	"1"
"sample63"	"ascended"	"1"	"0"	"0"	"0"	"0"	"0"
"sample64"	"ascribed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample65"	"asked"	"5"	"0"	"9"	"1"	"0"	"3"
"sample66"	"assented"	"0"	"1"	"0"	"0"	"0"	"0"
"sample67"	"asserted"	"0"	"0"	"2"	"0"	"0"	"0"
"sample68"	"assisted"	"0"	"0"	"1"	"0"	"0"	"0"
"sample69"	"associated"	"0"	"0"	"1"	"0"	"0"	"0"
"sample70"	"assumed"	"0"	"0"	"2"	"0"	"0"	"0"
"sample71"	"assured"	"2"	"0"	"0"	"0"	"1"	"1"
"sample72"	"assuredly"	"0"	"0"	"0"	"0"	"0"	"1"
"sample73"	"assures"	"0"	"1"	"0"	"0"	"0"	"0"
"sample74"	"at"	"7"	"4"	"2"	"1"	"0"	"1"
"sample75"	"ate"	"1"	"1"	"0"	"0"	"0"	"0"
"sample76"	"attached"	"0"	"1"	"0"	"0"	"0"	"0"
"sample77"	"attempt"	"0"	"0"	"1"	"0"	"0"	"0"
"sample78"	"attempted"	"0"	"1"	"1"	"0"	"0"	"1"
"sample79"	"attended"	"1"	"0"	"1"	"0"	"0"	"2"
"sample80"	"averred"	"1"	"0"	"0"	"0"	"0"	"0"
"sample81"	"avoided"	"1"	"0"	"0"	"0"	"0"	"0"
"sample82"	"awaited"	"0"	"0"	"0"	"0"	"0"	"1"
"sample83"	"awaked"	"0"	"3"	"0"	"0"	"0"	"0"
"sample84"	"aware"	"1"	"0"	"0"	"0"	"0"	"0"
"sample85"	"awoke"	"0"	"0"	"0"	"0"	"0"	"1"
"sample86"	"bade"	"1"	"0"	"0"	"2"	"0"	"1"
"sample87"	"bathed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample88"	"bawling"	"1"	"0"	"0"	"0"	"0"	"0"
"sample89"	"be"	"5"	"2"	"5"	"1"	"0"	"4"
"sample90"	"bear"	"0"	"1"	"0"	"0"	"0"	"0"
"sample91"	"bears"	"2"	"0"	"0"	"0"	"0"	"0"
"sample92"	"became"	"7"	"5"	"10"	"2"	"0"	"3"
"sample93"	"beckon"	"0"	"1"	"0"	"0"	"0"	"0"
"sample94"	"beckoned"	"0"	"1"	"0"	"0"	"0"	"0"
"sample95"	"become"	"0"	"0"	"1"	"0"	"0"	"0"
"sample96"	"becomes"	"1"	"0"	"0"	"0"	"0"	"0"
"sample97"	"been"	"1"	"2"	"0"	"0"	"0"	"0"
"sample98"	"before"	"0"	"0"	"0"	"0"	"0"	"1"
"sample99"	"began"	"2"	"22"	"2"	"0"	"1"	"4"
"sample100"	"begged"	"4"	"0"	"0"	"1"	"0"	"1"
"sample101"	"begins"	"1"	"0"	"1"	"0"	"0"	"0"
"sample102"	"beheld"	"0"	"5"	"2"	"0"	"0"	"2"
"sample103"	"behold"	"0"	"0"	"1"	"0"	"0"	"0"
"sample104"	"beholds"	"0"	"0"	"1"	"0"	"0"	"0"
"sample105"	"believed"	"1"	"4"	"0"	"0"	"0"	"2"
"sample106"	"bent"	"0"	"1"	"1"	"0"	"0"	"1"
"sample107"	"bequeathed"	"1"	"0"	"0"	"0"	"0"	"0"
"sample108"	"besieged"	"0"	"1"	"0"	"0"	"0"	"0"
"sample109"	"besought"	"0"	"1"	"1"	"0"	"0"	"0"
"sample110"	"best"	"0"	"0"	"1"	"0"	"0"	"0"
"sample111"	"bestowed"	"0"	"0"	"1"	"1"	"0"	"1"
"sample112"	"bestows"	"0"	"0"	"0"	"0"	"0"	"1"
"sample113"	"bethought"	"0"	"0"	"0"	"1"	"0"	"0"
"sample114"	"betook"	"0"	"0"	"1"	"0"	"0"	"0"
"sample115"	"betrayed"	"0"	"0"	"0"	"0"	"0"	"1"
"sample116"	"betrays"	"1"	"0"	"0"	"0"	"0"	"0"
"sample117"	"bewailed"	"0"	"0"	"0"	"0"	"0"	"1"
"sample118"	"bids"	"0"	"0"	"1"	"0"	"0"	"0"
"sample119"	"bit"	"1"	"0"	"0"	"0"	"0"	"1"
"sample120"	"bite"	"1"	"0"	"0"	"0"	"0"	"0"
"sample121"	"bitterly"	"0"	"0"	"1"	"0"	"0"	"0"
"sample122"	"boasted"	"1"	"0"	"1"	"0"	"0"	"0"
"sample123"	"bolted"	"1"	"0"	"0"	"0"	"0"	"0"
"sample124"	"bore"	"1"	"1"	"1"	"0"	"0"	"0"
"sample125"	"borrows"	"1"	"0"	"0"	"0"	"0"	"0"
"sample126"	"bothered"	"0"	"1"	"0"	"0"	"0"	"0"
"sample127"	"bought"	"0"	"1"	"1"	"0"	"0"	"0"
"sample128"	"bowed"	"2"	"0"	"1"	"0"	"0"	"0"
"sample129"	"bows"	"1"	"0"	"0"	"0"	"0"	"0"
"sample130"	"breathed"	"0"	"0"	"1"	"1"	"0"	"0"
"sample131"	"breeng"	"0"	"1"	"0"	"0"	"0"	"0"
"sample132"	"brought"	"0"	"1"	"0"	"1"	"1"	"2"
"sample133"	"brushed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample134"	"built"	"1"	"0"	"0"	"0"	"0"	"1"
"sample135"	"bullet"	"2"	"0"	"0"	"0"	"0"	"0"
"sample136"	"buries"	"1"	"0"	"0"	"0"	"0"	"0"
"sample137"	"burned"	"0"	"1"	"0"	"0"	"0"	"0"
"sample138"	"but"	"1"	"0"	"0"	"1"	"0"	"0"
"sample139"	"by"	"0"	"0"	"2"	"0"	"0"	"0"
"sample140"	"called"	"2"	"0"	"4"	"1"	"0"	"2"
"sample141"	"came"	"6"	"8"	"11"	"2"	"0"	"3"
"sample142"	"can"	"6"	"1"	"7"	"1"	"0"	"1"
"sample143"	"can't"	"1"	"0"	"0"	"0"	"0"	"0"
"sample144"	"cannot"	"0"	"0"	"1"	"0"	"0"	"0"
"sample145"	"capered"	"1"	"0"	"0"	"0"	"0"	"0"
"sample146"	"carefully"	"0"	"1"	"0"	"0"	"0"	"0"
"sample147"	"carried"	"1"	"2"	"0"	"0"	"0"	"0"
"sample148"	"carries"	"2"	"0"	"0"	"0"	"0"	"0"
"sample149"	"cast"	"0"	"0"	"1"	"0"	"0"	"2"
"sample150"	"caused"	"0"	"0"	"1"	"0"	"0"	"0"
"sample151"	"cautioned"	"0"	"1"	"0"	"0"	"0"	"0"
"sample152"	"cease"	"0"	"1"	"0"	"0"	"0"	"0"
"sample153"	"ceased"	"2"	"2"	"1"	"0"	"0"	"0"
"sample154"	"certainly"	"1"	"0"	"0"	"0"	"2"	"0"
"sample155"	"changed"	"0"	"2"	"3"	"0"	"0"	"0"
"sample156"	"charged"	"0"	"1"	"0"	"0"	"0"	"0"
"sample157"	"checked"	"0"	"0"	"1"	"0"	"0"	"0"
"sample158"	"cherished"	"0"	"0"	"1"	"0"	"0"	"0"
"sample159"	"chiefly"	"0"	"0"	"1"	"0"	"0"	"0"
"sample160"	"chooses"	"1"	"0"	"0"	"0"	"0"	"0"
"sample161"	"chose"	"1"	"0"	"0"	"1"	"0"	"0"
"sample162"	"claimed"	"0"	"1"	"0"	"0"	"1"	"0"
"sample163"	"cleaned"	"0"	"1"	"0"	"0"	"0"	"0"
"sample164"	"clearly"	"0"	"2"	"0"	"0"	"0"	"0"
"sample165"	"climbed"	"0"	"4"	"0"	"0"	"0"	"0"
"sample166"	"clinched"	"0"	"0"	"1"	"0"	"0"	"0"
"sample167"	"closed"	"2"	"0"	"0"	"0"	"0"	"0"
"sample168"	"clung"	"0"	"0"	"1"	"0"	"0"	"3"
"sample169"	"clutched"	"0"	"1"	"0"	"0"	"0"	"0"
"sample170"	"collapsed"	"0"	"2"	"0"	"0"	"0"	"0"
"sample171"	"collected"	"0"	"0"	"1"	"0"	"0"	"1"
"sample172"	"come"	"1"	"0"	"0"	"0"	"1"	"0"
"sample173"	"comes"	"1"	"1"	"0"	"0"	"0"	"0"
"sample174"	"cometh"	"1"	"0"	"0"	"0"	"0"	"0"
"sample175"	"comforted"	"0"	"0"	"1"	"0"	"0"	"0"
"sample176"	"commanded"	"0"	"0"	"3"	"0"	"0"	"1"
"sample177"	"commenced"	"2"	"3"	"0"	"0"	"0"	"0"
"sample178"	"committed"	"0"	"1"	"1"	"0"	"0"	"0"
"sample179"	"communicated"	"0"	"0"	"0"	"0"	"0"	"1"
"sample180"	"compared"	"0"	"0"	"1"	"0"	"0"	"0"
"sample181"	"complained"	"0"	"1"	"1"	"0"	"1"	"0"
"sample182"	"completed"	"0"	"0"	"0"	"1"	"0"	"0"
"sample183"	"composed"	"0"	"0"	"1"	"0"	"0"	"1"
"sample184"	"composes"	"0"	"0"	"1"	"0"	"0"	"0"
"sample185"	"comprehended"	"2"	"0"	"0"	"0"	"0"	"0"
"sample186"	"concealed"	"0"	"0"	"0"	"0"	"0"	"2"
"sample187"	"conceals"	"1"	"0"	"0"	"0"	"0"	"0"
"sample188"	"conceived"	"1"	"0"	"0"	"0"	"0"	"0"
"sample189"	"concern"	"0"	"1"	"0"	"0"	"0"	"0"
"sample190"	"concluded"	"1"	"0"	"0"	"0"	"0"	"0"
"sample191"	"concocted"	"0"	"0"	"0"	"1"	"0"	"0"
"sample192"	"condemns"	"0"	"0"	"1"	"0"	"0"	"0"
"sample193"	"condescended"	"1"	"0"	"0"	"0"	"0"	"0"
"sample194"	"conducted"	"0"	"0"	"1"	"0"	"0"	"0"
"sample195"	"confess"	"0"	"0"	"0"	"0"	"0"	"1"
"sample196"	"confirmed"	"1"	"0"	"0"	"0"	"0"	"0"
"sample197"	"conjectured"	"0"	"0"	"0"	"0"	"0"	"1"
"sample198"	"conjured"	"0"	"1"	"0"	"0"	"0"	"1"
"sample199"	"conquers"	"1"	"0"	"0"	"0"	"0"	"0"
"sample200"	"consent"	"0"	"0"	"1"	"0"	"0"	"0"
"sample201"	"consented"	"0"	"0"	"0"	"0"	"0"	"2"
"sample202"	"consider"	"0"	"0"	"1"	"0"	"0"	"0"
"sample203"	"considered"	"2"	"3"	"1"	"0"	"0"	"1"
"sample204"	"considers"	"1"	"0"	"0"	"0"	"0"	"0"
"sample205"	"consigned"	"0"	"0"	"0"	"0"	"0"	"1"
"sample206"	"consoles"	"1"	"0"	"0"	"0"	"0"	"0"
"sample207"	"contended"	"1"	"0"	"0"	"0"	"0"	"0"
"sample208"	"continued"	"7"	"3"	"8"	"2"	"0"	"10"
"sample209"	"continuing"	"0"	"0"	"0"	"0"	"0"	"1"
"sample210"	"contrived"	"2"	"0"	"1"	"0"	"0"	"1"
"sample211"	"conversed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample212"	"converses"	"1"	"0"	"0"	"0"	"0"	"0"
"sample213"	"conveyed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample214"	"copied"	"0"	"1"	"0"	"0"	"0"	"0"
"sample215"	"coquetted"	"0"	"0"	"0"	"1"	"0"	"0"
"sample216"	"could"	"23"	"62"	"22"	"1"	"2"	"23"
"sample217"	"couldn't"	"0"	"3"	"0"	"0"	"0"	"0"
"sample218"	"counted"	"0"	"0"	"1"	"0"	"0"	"0"
"sample219"	"counterfeits"	"1"	"0"	"0"	"0"	"0"	"0"
"sample220"	"courted"	"0"	"1"	"0"	"0"	"0"	"0"
"sample221"	"covered"	"0"	"1"	"0"	"0"	"0"	"0"
"sample222"	"cowered"	"0"	"0"	"1"	"0"	"0"	"0"
"sample223"	"crawled"	"0"	"1"	"0"	"0"	"0"	"0"
"sample224"	"created"	"1"	"0"	"0"	"0"	"0"	"0"
"sample225"	"crept"	"0"	"1"	"0"	"0"	"0"	"1"
"sample226"	"cried"	"0"	"1"	"15"	"0"	"1"	"9"
"sample227"	"cries"	"1"	"0"	"0"	"0"	"0"	"0"
"sample228"	"crossed"	"0"	"2"	"0"	"0"	"0"	"0"
"sample229"	"cud"	"0"	"2"	"0"	"0"	"0"	"0"
"sample230"	"cultivated"	"0"	"1"	"0"	"0"	"0"	"1"
"sample231"	"curse"	"1"	"0"	"0"	"0"	"0"	"0"
"sample232"	"cursed"	"1"	"0"	"0"	"0"	"0"	"0"
"sample233"	"cut"	"1"	"1"	"0"	"1"	"0"	"0"
"sample234"	"cuts"	"1"	"0"	"0"	"0"	"0"	"0"
"sample235"	"dabbled"	"0"	"1"	"0"	"0"	"0"	"0"
"sample236"	"daily"	"0"	"0"	"0"	"0"	"0"	"1"
"sample237"	"dared"	"0"	"4"	"2"	"0"	"0"	"2"
"sample238"	"dares"	"1"	"0"	"0"	"0"	"0"	"0"
"sample239"	"darted"	"0"	"0"	"1"	"0"	"0"	"0"
"sample240"	"dashed"	"0"	"0"	"1"	"1"	"0"	"0"
"sample241"	"dast"	"0"	"1"	"0"	"0"	"0"	"0"
"sample242"	"dead"	"0"	"0"	"1"	"0"	"0"	"0"
"sample243"	"deceived"	"0"	"0"	"1"	"0"	"0"	"0"
"sample244"	"decided"	"0"	"1"	"0"	"0"	"0"	"0"
"sample245"	"decides"	"0"	"0"	"1"	"0"	"0"	"0"
"sample246"	"declared"	"0"	"1"	"1"	"0"	"0"	"2"
"sample247"	"declares"	"1"	"0"	"0"	"0"	"0"	"0"
"sample248"	"declined"	"1"	"0"	"0"	"0"	"0"	"0"
"sample249"	"declines"	"1"	"0"	"0"	"0"	"0"	"0"
"sample250"	"deemed"	"0"	"0"	"0"	"0"	"0"	"1"
"sample251"	"deigned"	"0"	"0"	"1"	"0"	"0"	"0"
"sample252"	"delighted"	"0"	"0"	"1"	"0"	"0"	"0"
"sample253"	"demanded"	"3"	"0"	"1"	"0"	"0"	"0"
"sample254"	"denied"	"0"	"0"	"1"	"0"	"0"	"0"
"sample255"	"denies"	"1"	"0"	"0"	"0"	"0"	"0"
"sample256"	"departed"	"1"	"0"	"1"	"2"	"0"	"1"
"sample257"	"depended"	"0"	"0"	"1"	"0"	"0"	"0"
"sample258"	"depicted"	"1"	"0"	"0"	"0"	"0"	"0"
"sample259"	"deposed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample260"	"deposited"	"1"	"0"	"0"	"0"	"0"	"0"
"sample261"	"der"	"1"	"0"	"0"	"0"	"0"	"0"
"sample262"	"derives"	"1"	"0"	"0"	"0"	"0"	"0"
"sample263"	"desarved"	"0"	"1"	"0"	"0"	"0"	"0"
"sample264"	"descended"	"1"	"1"	"1"	"0"	"0"	"0"
"sample265"	"described"	"1"	"0"	"2"	"0"	"0"	"0"
"sample266"	"deserted"	"0"	"0"	"1"	"0"	"0"	"0"
"sample267"	"deserts"	"0"	"0"	"1"	"0"	"0"	"0"
"sample268"	"deserved"	"1"	"0"	"2"	"0"	"0"	"0"
"sample269"	"deserves"	"0"	"0"	"0"	"0"	"0"	"1"
"sample270"	"desired"	"0"	"1"	"2"	"0"	"0"	"1"
"sample271"	"desires"	"1"	"0"	"0"	"0"	"0"	"0"
"sample272"	"despaired"	"1"	"0"	"0"	"0"	"0"	"0"
"sample273"	"despises"	"1"	"0"	"0"	"0"	"0"	"0"
"sample274"	"destroyed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample275"	"detailed"	"2"	"0"	"0"	"0"	"0"	"0"
"sample276"	"determined"	"3"	"0"	"1"	"0"	"0"	"0"
"sample277"	"developed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample278"	"devoted"	"0"	"0"	"1"	"0"	"0"	"2"
"sample279"	"devoured"	"0"	"1"	"0"	"0"	"0"	"0"
"sample280"	"devoutly"	"0"	"0"	"1"	"0"	"0"	"0"
"sample281"	"dictated"	"1"	"0"	"0"	"0"	"0"	"0"
"sample282"	"did"	"20"	"42"	"28"	"4"	"1"	"16"
"sample283"	"didn't"	"0"	"6"	"0"	"0"	"0"	"0"
"sample284"	"die"	"0"	"0"	"1"	"0"	"0"	"0"
"sample285"	"died"	"2"	"3"	"10"	"2"	"0"	"6"
"sample286"	"dies"	"0"	"0"	"1"	"1"	"0"	"1"
"sample287"	"differed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample288"	"dignified"	"0"	"0"	"1"	"0"	"0"	"0"
"sample289"	"diluted"	"1"	"0"	"0"	"0"	"0"	"0"
"sample290"	"directed"	"0"	"0"	"0"	"0"	"0"	"1"
"sample291"	"disappeared"	"2"	"2"	"0"	"0"	"1"	"0"
"sample292"	"disappointedly"	"0"	"1"	"0"	"0"	"0"	"0"
"sample293"	"discharges"	"1"	"0"	"0"	"0"	"0"	"0"
"sample294"	"discoursed"	"2"	"0"	"1"	"0"	"0"	"0"
"sample295"	"discovered"	"2"	"0"	"1"	"0"	"0"	"1"
"sample296"	"discussed"	"0"	"0"	"0"	"0"	"0"	"1"
"sample297"	"disdained"	"1"	"0"	"0"	"0"	"0"	"0"
"sample298"	"disliked"	"0"	"1"	"0"	"0"	"0"	"0"
"sample299"	"dislikes"	"1"	"0"	"0"	"0"	"0"	"0"
"sample300"	"dismissed"	"0"	"0"	"1"	"0"	"0"	"1"
"sample301"	"dismisses"	"0"	"1"	"0"	"0"	"0"	"0"
"sample302"	"dispatched"	"0"	"0"	"1"	"0"	"0"	"0"
"sample303"	"displayed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample304"	"displays"	"1"	"0"	"1"	"0"	"0"	"0"
"sample305"	"displeases"	"1"	"0"	"0"	"0"	"0"	"0"
"sample306"	"disregarded"	"1"	"0"	"0"	"0"	"0"	"0"
"sample307"	"dived"	"1"	"0"	"0"	"0"	"0"	"0"
"sample308"	"diverted"	"1"	"0"	"0"	"0"	"0"	"0"
"sample309"	"divested"	"0"	"0"	"1"	"0"	"0"	"0"
"sample310"	"do"	"1"	"2"	"1"	"0"	"0"	"0"
"sample311"	"does"	"2"	"1"	"2"	"0"	"0"	"1"
"sample312"	"done"	"0"	"0"	"0"	"0"	"0"	"1"
"sample313"	"donned"	"0"	"1"	"0"	"0"	"0"	"0"
"sample314"	"doted"	"0"	"0"	"1"	"0"	"0"	"0"
"sample315"	"dragged"	"1"	"1"	"0"	"0"	"0"	"0"
"sample316"	"draped"	"0"	"1"	"0"	"0"	"0"	"0"
"sample317"	"dreaded"	"1"	"1"	"0"	"0"	"0"	"3"
"sample318"	"dreads"	"1"	"0"	"0"	"0"	"0"	"0"
"sample319"	"dreamed"	"0"	"2"	"0"	"0"	"0"	"0"
"sample320"	"dreams"	"1"	"0"	"0"	"0"	"0"	"0"
"sample321"	"dreamt"	"0"	"0"	"0"	"0"	"0"	"1"
"sample322"	"dressed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample323"	"drew"	"4"	"6"	"2"	"0"	"0"	"0"
"sample324"	"drifted"	"0"	"1"	"0"	"0"	"0"	"1"
"sample325"	"drinks"	"1"	"0"	"0"	"0"	"0"	"0"
"sample326"	"dropped"	"0"	"5"	"0"	"1"	"0"	"0"
"sample327"	"drove"	"1"	"1"	"0"	"0"	"0"	"0"
"sample328"	"drowsed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample329"	"duk"	"0"	"0"	"0"	"1"	"0"	"0"
"sample330"	"dwell"	"0"	"1"	"0"	"0"	"0"	"0"
"sample331"	"dwelt"	"0"	"1"	"1"	"0"	"0"	"0"
"sample332"	"each"	"0"	"0"	"1"	"0"	"0"	"0"
"sample333"	"earnestly"	"0"	"0"	"1"	"0"	"0"	"0"
"sample334"	"easily"	"0"	"1"	"1"	"0"	"0"	"0"
"sample335"	"eats"	"1"	"0"	"0"	"0"	"0"	"0"
"sample336"	"ees"	"0"	"1"	"0"	"0"	"0"	"0"
"sample337"	"effected"	"1"	"0"	"0"	"0"	"0"	"0"
"sample338"	"either"	"1"	"0"	"0"	"0"	"0"	"0"
"sample339"	"ejaculated"	"1"	"0"	"0"	"0"	"0"	"0"
"sample340"	"elevated"	"0"	"0"	"1"	"0"	"0"	"0"
"sample341"	"elevates"	"1"	"0"	"0"	"0"	"0"	"0"
"sample342"	"eluded"	"0"	"0"	"2"	"0"	"0"	"0"
"sample343"	"embarks"	"0"	"0"	"1"	"0"	"0"	"0"
"sample344"	"embraced"	"0"	"0"	"0"	"0"	"0"	"3"
"sample345"	"emitted"	"1"	"0"	"0"	"0"	"0"	"0"
"sample346"	"emphasised"	"0"	"1"	"0"	"0"	"0"	"0"
"sample347"	"employed"	"1"	"1"	"0"	"0"	"0"	"0"
"sample348"	"employs"	"1"	"0"	"0"	"0"	"0"	"0"
"sample349"	"emptied"	"1"	"0"	"0"	"0"	"0"	"0"
"sample350"	"encircled"	"0"	"0"	"1"	"0"	"0"	"0"
"sample351"	"encountered"	"1"	"0"	"0"	"0"	"0"	"0"
"sample352"	"encouraged"	"0"	"0"	"0"	"0"	"0"	"1"
"sample353"	"endeavored"	"2"	"0"	"0"	"0"	"0"	"0"
"sample354"	"endeavour'd"	"0"	"1"	"0"	"0"	"0"	"0"
"sample355"	"endeavoured"	"0"	"0"	"6"	"0"	"0"	"4"
"sample356"	"endeavours"	"0"	"0"	"1"	"0"	"0"	"0"
"sample357"	"ended"	"0"	"0"	"1"	"0"	"0"	"1"
"sample358"	"endured"	"0"	"0"	"0"	"0"	"0"	"1"
"sample359"	"enjoyed"	"0"	"0"	"2"	"0"	"0"	"0"
"sample360"	"entered"	"3"	"2"	"8"	"0"	"0"	"3"
"sample361"	"entertained"	"2"	"0"	"0"	"0"	"0"	"0"
"sample362"	"entranced"	"1"	"0"	"0"	"0"	"0"	"0"
"sample363"	"entreated"	"0"	"0"	"2"	"0"	"0"	"0"
"sample364"	"enumerated"	"0"	"0"	"0"	"0"	"0"	"1"
"sample365"	"enwrapped"	"1"	"0"	"0"	"0"	"0"	"0"
"sample366"	"erred"	"1"	"0"	"0"	"0"	"0"	"0"
"sample367"	"escape"	"0"	"1"	"0"	"0"	"0"	"0"
"sample368"	"escaped"	"0"	"0"	"1"	"0"	"0"	"0"
"sample369"	"espied"	"0"	"0"	"0"	"0"	"0"	"1"
"sample370"	"even"	"0"	"2"	"1"	"0"	"0"	"2"
"sample371"	"ever"	"1"	"3"	"0"	"1"	"0"	"0"
"sample372"	"evidently"	"4"	"1"	"1"	"0"	"0"	"0"
"sample373"	"evinced"	"2"	"0"	"1"	"0"	"0"	"1"
"sample374"	"examines"	"1"	"0"	"0"	"0"	"0"	"0"
"sample375"	"excites"	"0"	"0"	"1"	"0"	"0"	"0"
"sample376"	"exclaimed"	"2"	"1"	"2"	"1"	"0"	"2"
"sample377"	"executed"	"0"	"0"	"0"	"0"	"0"	"1"
"sample378"	"exerted"	"0"	"0"	"3"	"0"	"0"	"0"
"sample379"	"exhibited"	"1"	"0"	"2"	"0"	"0"	"0"
"sample380"	"expected"	"2"	"3"	"1"	"0"	"0"	"2"
"sample381"	"experienced"	"0"	"0"	"0"	"0"	"0"	"1"
"sample382"	"explained"	"1"	"0"	"0"	"0"	"0"	"0"
"sample383"	"expressed"	"0"	"1"	"1"	"0"	"0"	"0"
"sample384"	"fail"	"0"	"1"	"0"	"0"	"0"	"0"
"sample385"	"failed"	"2"	"1"	"1"	"0"	"0"	"0"
"sample386"	"fainted"	"0"	"0"	"1"	"0"	"0"	"2"
"sample387"	"fairly"	"2"	"0"	"0"	"0"	"0"	"0"
"sample388"	"falls"	"0"	"0"	"1"	"0"	"0"	"0"
"sample389"	"falsely"	"1"	"0"	"0"	"0"	"0"	"0"
"sample390"	"faltered"	"0"	"1"	"0"	"0"	"0"	"0"
